[2026-03-27T22:26:04.250Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-VTS4FBCU.js?v=b0be6a92 → 200 (125ms, 12854B)
[2026-03-27T22:26:04.313Z] GET http://localhost:5173/src/hooks/useTimer.ts → 200 (93ms, 3939B)
[2026-03-27T22:26:04.313Z] GET http://localhost:5173/src/lib/format.ts → 200 (92ms, 5141B)
[2026-03-27T22:26:04.334Z] GET http://localhost:5173/src/components/sessions/TimesheetMatterCard.tsx → 200 (170ms, 61053B)
[2026-03-27T22:26:04.334Z] GET http://localhost:5173/src/components/sessions/TimesheetAddEntryForm.tsx → 200 (95ms, 24463B)
[2026-03-27T22:26:04.344Z] GET http://localhost:5173/src/components/sessions/SessionRow.tsx → 200 (86ms, 24553B)
[2026-03-27T22:26:04.344Z] GET http://localhost:5173/src/components/sessions/EmptyState.tsx → 200 (88ms, 5642B)
[2026-03-27T22:26:04.344Z] GET http://localhost:5173/src/components/sessions/InlineProcessingRow.tsx → 200 (66ms, 6914B)
[2026-03-27T22:26:04.356Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-U7P2NEEE.js?v=b0be6a92 → 200 (51ms, 626B)
[2026-03-27T22:26:04.357Z] GET http://localhost:5173/node_modules/.vite/deps/recharts.js?v=b0be6a92 → 200 (100ms, 1324771B)
[2026-03-27T22:26:04.357Z] GET http://localhost:5173/src/lib/types.ts → 200 (147ms, 10261B)
[2026-03-27T22:26:04.430Z] GET http://localhost:5173/src/lib/utbms.ts → 200 (75ms, 7759B)
[2026-03-27T22:26:04.431Z] GET http://localhost:5173/src/components/ui/CategoryBar.tsx → 200 (77ms, 4653B)
[2026-03-27T22:26:04.431Z] GET http://localhost:5173/src/components/ui/CategoryPill.tsx → 200 (74ms, 5969B)
[2026-03-27T22:26:04.431Z] GET http://localhost:5173/src/components/sessions/ActivityRow.tsx → 200 (82ms, 37032B)
[2026-03-27T22:26:04.509Z] GET http://localhost:5173/src/components/ui/DropdownMenu.tsx → 200 (9ms, 11423B)
[2026-03-27T22:27:36.145Z] GET http://localhost:5173/ → 200 (56ms, 1082B)
[2026-03-27T22:27:36.306Z] GET http://localhost:5173/@vite/client → 200 (154ms, 182551B)
[2026-03-27T22:27:36.307Z] GET https://api.fontshare.com/v2/css?f[]=satoshi@400,500,700,900&display=swap → 200 (?ms, 2340B)
[2026-03-27T22:27:36.311Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600&family=Geist+Mono:wght@400;500;600&display=swap → 200 (9ms, 19536B)
[2026-03-27T22:27:36.320Z] GET http://localhost:5173/src/main.tsx → 200 (160ms, 2495B)
[2026-03-27T22:27:36.337Z] GET http://localhost:5173/@react-refresh → 200 (121ms, 113132B)
[2026-03-27T22:27:36.461Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (54ms, 3861B)
[2026-03-27T22:27:36.487Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=b0be6a92 → 200 (?ms, 12506B)
[2026-03-27T22:27:36.487Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=b0be6a92 → 200 (?ms, 1024B)
[2026-03-27T22:27:36.488Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=b0be6a92 → 200 (5ms, 1005607B)
